번호,분류,제목,내용,내용번호,문서
2313,행정,외국도시초청공무원연수란 무엇인가요?,외국도시초청공무원연수란 무엇인가요 서울시 자매도시 및 교류협력 도시 공무원들을 초청하는 행사로 매년 명정도를 초청하여 서울 연수 및 시찰을 하는 행사로써 매년 월중순에 시작합니다 년부터 매년 북경 상해 울란바타르 마드리드 암스테르담시청 등 다양한 외국 도시 공무원들이 초청사업에 참여했습니다 보다 자세한 사항은 국제교류담당관 서성열으로 연락주시면 자세히 안내하여드리겠습니다  ,2894971,외국도시초청공무원연수란 무엇인가요?외국도시초청공무원연수란 무엇인가요 서울시 자매도시 및 교류협력 도시 공무원들을 초청하는 행사로 매년 명정도를 초청하여 서울 연수 및 시찰을 하는 행사로써 매년 월중순에 시작합니다 년부터 매년 북경 상해 울란바타르 마드리드 암스테르담시청 등 다양한 외국 도시 공무원들이 초청사업에 참여했습니다 보다 자세한 사항은 국제교류담당관 서성열으로 연락주시면 자세히 안내하여드리겠습니다  
2311,복지,"기초생활수급자 특례 (의료급여,교육급여,자활급여,북한이탈주민)",기초생활수급자 특례 의료급여교육급여자활급여북한이탈주민  기초생활수급자 특례 의료급여교육급여자활급여북한이탈주민  가구 전체가 수급자로 선정될 수 없는 저소득 가구에 대하여 의료급여 교육급여 등 특정급여를 필요로 하는 특정 가구원에 대해 급여를 제공함으로써    해당 가구가 최저생계비 이상의 생활을 유지할 수 있도록 지원     구분  적용대상자  급여내용   의료급여 특례   실제소득에서 개월 이상 지속적으로 지출되는 의료비를 공제하면   수급자 선정요건에 해당하나 수급자 선정 이후에는 공제 대상 지출이   발생하지 않아 소득인정액이 최저생계비를 초과하는 가구   의료급여 지속적인 의료비 지출을 요하는 가구원 개인에 대해서만 지급    종 보건복지가족부장관이 정하여 고시하는 희귀난치성 질환자    종 보건복지가족부장관이 정하여 고시하는 희귀난치성 질환을 제외한 기타 질환자  해산급여 장제급여 특례수급자가 출산 또는 사망시 지급   교육급여 특례   실제소득에서 고등학생 학비입학금 수업료로 지출되는 비용을   공제하면 수급자 선정요건에 해당하나 수급자 선정 이후에는 공제   대상 지출이 발생하지 않아 소득인정액이 최저생계비를 초과하는 가구   교육급여 해당 학생 개인만 지급  해산급여 장제급여 교육급여 특례수급자가 출산 또는 사망시 지급   자활급여 특례   수급자조건부수급자를 포함하여 일반수급자도 해당가 자활근로   자활공동체 자활인턴 성과관리형 자활시범사업 등 자활사업 및 취업   성공패키지노동부의 디딤돌 일자리에 참가하여 발생한 소득으로 인   하여 소득인정액이 최저생계비를 초과한 경우  기준초과의 판정시점은 자활사업에 참가하여 발생한 소득으로 인하여    개월 평균 소득인정액이 선정기준을 초과하는 시점이므로 그 다음달   부터 자활급여 특례자로 선정다만 보장기관이 자활사업을 실시하지   못하는 달은 평균산정기간에서 제외  일반수급자에서 자활급여 특례자로 지정되기 전까지의 기간 동안에    는 생계주거급여는 다음의 기준에 의하여 지급하고 나머지 급여는    해당 수급자 가구에 계속 지급   전월 소득인정액이 최저생계비 초과당월 생계주거급여 지급하지 않음   전월 소득인정액이 최저생계비 이하 당월 생계주거급여 지급함   생계주거급여 중지   단 자활급여특례자를 보장기관의 귀책사유로 자활사업에 참여시키지 못하거나   사업기간단축 등 부분적으로 실시되어 가구의 소득인정액이 최저생계비이하인 경우는   지급수급자 본인의 귀책사유로 미참여시는 제외   생계 주거급여 지급시 전체 가구원수 기준으로 급여액 산정  자활급여 해당자 개인에 대하여 자활근로 자활공동체 자활인턴 등에 참가할 수 있도           록 자활급여를 계속 지급   기간 자활특례로 선정된 달로부터 년간        단 보장기관의 사유로 자활사업을 실시하지 못한 달은 산정에서 제외  의료급여 자활급여특례자가 포함된 가구의 모든 가구원에 대해 지급하되다음 기준에           의함   보건복지가족부장관이 정하여 고시하는 희귀난치성질환자가 있는 가구의 경우     희귀난치성질환자부록 참조 개인에 대하여 종 의료급여를 실시하고 다른 가구원에    대해서는 종 의료급여 실시   보건복지가족부장관이 정하여 고시하는 희귀난치성질환자가 없는 가구의 경우     모든 가구원에 대하여 종 의료급여 지급  교육급여 자활급여특례자가 포함된 가구의 중고등학생에 대해서만 지급  해산급여 장제급여 자활급여특례자가 포함된 가구의 모든 가구원에 대하여 출산 또는                  사망시 지급   북한이탈자 특례   북한이탈주민의보호및정착지원에관한법률제조에 의해 생활이 어려   운 북한이탈주민에 대해서는 최초 거주지 전입 후 년의 범위연속개념   임내에서 급여실시   근로무능력자로만 구성된 가구 년   근로능력자가 있는 가구 년  생활이 어려운 북한이탈주민의 구분기준   소득인정액최저생계비 기준 근로능력이 없는 자로만 구성된 가구는    가구원수에 인을 추가한 소득인정액기준을 적용하고 근로능력이 있는   자가 포함된 가구는 일반수급자 선정기준과 동일하게 적용   생계주거급여 근로무능력자로만 구성된 가구에 한하여 한명을 추가한 가구원수를 기준             으로 지급 즉인가구인 경우는 인가구 기준 생계주거급여를 실시             단근로능력자가 있는 가구의 경우 일반수급자와 동일기준 적용  정착지원시설로부터 최초 거주지 전입 후 개월간 생계급여의 조건부과를 면제하고  조건제시유예자로 관리 해당기간 만료후개월년 자활사업 참여 의무 부과  년 근로능력자에 대한 특례기준 폐지로 인하여 수급자에서 탈락하는 근로능력자가    있는 가구는 최초거주지 전입 후 년이 도래하는 잔여기간 동안 의료급여 수급권 인정     위 내용 외에도 수급권자 재산범위 특례 부양의무자 재산기준 특례 외국인에대한 특례 등이 있음 ,2897377,"기초생활수급자 특례 (의료급여,교육급여,자활급여,북한이탈주민)기초생활수급자 특례 의료급여교육급여자활급여북한이탈주민  기초생활수급자 특례 의료급여교육급여자활급여북한이탈주민  가구 전체가 수급자로 선정될 수 없는 저소득 가구에 대하여 의료급여 교육급여 등 특정급여를 필요로 하는 특정 가구원에 대해 급여를 제공함으로써    해당 가구가 최저생계비 이상의 생활을 유지할 수 있도록 지원     구분  적용대상자  급여내용   의료급여 특례   실제소득에서 개월 이상 지속적으로 지출되는 의료비를 공제하면   수급자 선정요건에 해당하나 수급자 선정 이후에는 공제 대상 지출이   발생하지 않아 소득인정액이 최저생계비를 초과하는 가구   의료급여 지속적인 의료비 지출을 요하는 가구원 개인에 대해서만 지급    종 보건복지가족부장관이 정하여 고시하는 희귀난치성 질환자    종 보건복지가족부장관이 정하여 고시하는 희귀난치성 질환을 제외한 기타 질환자  해산급여 장제급여 특례수급자가 출산 또는 사망시 지급   교육급여 특례   실제소득에서 고등학생 학비입학금 수업료로 지출되는 비용을   공제하면 수급자 선정요건에 해당하나 수급자 선정 이후에는 공제   대상 지출이 발생하지 않아 소득인정액이 최저생계비를 초과하는 가구   교육급여 해당 학생 개인만 지급  해산급여 장제급여 교육급여 특례수급자가 출산 또는 사망시 지급   자활급여 특례   수급자조건부수급자를 포함하여 일반수급자도 해당가 자활근로   자활공동체 자활인턴 성과관리형 자활시범사업 등 자활사업 및 취업   성공패키지노동부의 디딤돌 일자리에 참가하여 발생한 소득으로 인   하여 소득인정액이 최저생계비를 초과한 경우  기준초과의 판정시점은 자활사업에 참가하여 발생한 소득으로 인하여    개월 평균 소득인정액이 선정기준을 초과하는 시점이므로 그 다음달   부터 자활급여 특례자로 선정다만 보장기관이 자활사업을 실시하지   못하는 달은 평균산정기간에서 제외  일반수급자에서 자활급여 특례자로 지정되기 전까지의 기간 동안에    는 생계주거급여는 다음의 기준에 의하여 지급하고 나머지 급여는    해당 수급자 가구에 계속 지급   전월 소득인정액이 최저생계비 초과당월 생계주거급여 지급하지 않음   전월 소득인정액이 최저생계비 이하 당월 생계주거급여 지급함   생계주거급여 중지   단 자활급여특례자를 보장기관의 귀책사유로 자활사업에 참여시키지 못하거나   사업기간단축 등 부분적으로 실시되어 가구의 소득인정액이 최저생계비이하인 경우는   지급수급자 본인의 귀책사유로 미참여시는 제외   생계 주거급여 지급시 전체 가구원수 기준으로 급여액 산정  자활급여 해당자 개인에 대하여 자활근로 자활공동체 자활인턴 등에 참가할 수 있도           록 자활급여를 계속 지급   기간 자활특례로 선정된 달로부터 년간        단 보장기관의 사유로 자활사업을 실시하지 못한 달은 산정에서 제외  의료급여 자활급여특례자가 포함된 가구의 모든 가구원에 대해 지급하되다음 기준에           의함   보건복지가족부장관이 정하여 고시하는 희귀난치성질환자가 있는 가구의 경우     희귀난치성질환자부록 참조 개인에 대하여 종 의료급여를 실시하고 다른 가구원에    대해서는 종 의료급여 실시   보건복지가족부장관이 정하여 고시하는 희귀난치성질환자가 없는 가구의 경우     모든 가구원에 대하여 종 의료급여 지급  교육급여 자활급여특례자가 포함된 가구의 중고등학생에 대해서만 지급  해산급여 장제급여 자활급여특례자가 포함된 가구의 모든 가구원에 대하여 출산 또는                  사망시 지급   북한이탈자 특례   북한이탈주민의보호및정착지원에관한법률제조에 의해 생활이 어려   운 북한이탈주민에 대해서는 최초 거주지 전입 후 년의 범위연속개념   임내에서 급여실시   근로무능력자로만 구성된 가구 년   근로능력자가 있는 가구 년  생활이 어려운 북한이탈주민의 구분기준   소득인정액최저생계비 기준 근로능력이 없는 자로만 구성된 가구는    가구원수에 인을 추가한 소득인정액기준을 적용하고 근로능력이 있는   자가 포함된 가구는 일반수급자 선정기준과 동일하게 적용   생계주거급여 근로무능력자로만 구성된 가구에 한하여 한명을 추가한 가구원수를 기준             으로 지급 즉인가구인 경우는 인가구 기준 생계주거급여를 실시             단근로능력자가 있는 가구의 경우 일반수급자와 동일기준 적용  정착지원시설로부터 최초 거주지 전입 후 개월간 생계급여의 조건부과를 면제하고  조건제시유예자로 관리 해당기간 만료후개월년 자활사업 참여 의무 부과  년 근로능력자에 대한 특례기준 폐지로 인하여 수급자에서 탈락하는 근로능력자가    있는 가구는 최초거주지 전입 후 년이 도래하는 잔여기간 동안 의료급여 수급권 인정     위 내용 외에도 수급권자 재산범위 특례 부양의무자 재산기준 특례 외국인에대한 특례 등이 있음 "
2310,복지,"장애인인데, 30만원정도의 월세부담이 커서 좀더 저렴하게 주택으로 갈수 있는 방법이 있을까요?",장애인인데 만원정도의 월세부담이 커서 좀더 저렴하게 주택으로 갈수 있는 방법이 있을까요주거복지사업의 일환 기존주택 매입임대제대가 있습니다도심내 최저소득계층이 현 생활권에서 현재의 수입으로 거주할수 있는 기존의 다가구주택등을 매입하여 저렴하게 임대하며임대료 수준을 시중임대료의 수준으로 보증금만원정도에 월임대료 만원수준으로 저렴하게 주거할수 있는 제도입니다 ,2896868,"장애인인데, 30만원정도의 월세부담이 커서 좀더 저렴하게 주택으로 갈수 있는 방법이 있을까요?장애인인데 만원정도의 월세부담이 커서 좀더 저렴하게 주택으로 갈수 있는 방법이 있을까요주거복지사업의 일환 기존주택 매입임대제대가 있습니다도심내 최저소득계층이 현 생활권에서 현재의 수입으로 거주할수 있는 기존의 다가구주택등을 매입하여 저렴하게 임대하며임대료 수준을 시중임대료의 수준으로 보증금만원정도에 월임대료 만원수준으로 저렴하게 주거할수 있는 제도입니다 "
2309,행정,돈암1동으로 이사를 하면 초등학교 배정은 어디로 되나요?,돈암동으로 이사를 하면 초등학교 배정은 어디로 되나요 통통개운초등학교 통숭덕초등학교 통정덕초등학교  서울시교육청     성북교육지원청     주소 강북구 솔매로길 미아동     호선 미아역 번 출구 도보 분 거리  ,2895822,돈암1동으로 이사를 하면 초등학교 배정은 어디로 되나요?돈암동으로 이사를 하면 초등학교 배정은 어디로 되나요 통통개운초등학교 통숭덕초등학교 통정덕초등학교  서울시교육청     성북교육지원청     주소 강북구 솔매로길 미아동     호선 미아역 번 출구 도보 분 거리  
2308,행정,돈암1동주민센터를 가는 방법은?,돈암동주민센터를 가는 방법은 지하철호선을 이용하실 때에는  상계방면으로 번 출구로 나오셔서 내부순환도로가 있는  보행차로로 오시면 건널목이 있습니다  건널목을 건너시면 약 지점에 돈암동 주민센터가 있습니다  돈암동 주민센터    주소 우 성북구 정릉로 돈암동     전화번호     위치 호선 길음역 번 출구 돈암현대아파트 동 옆 위치  ,2895821,돈암1동주민센터를 가는 방법은?돈암동주민센터를 가는 방법은 지하철호선을 이용하실 때에는  상계방면으로 번 출구로 나오셔서 내부순환도로가 있는  보행차로로 오시면 건널목이 있습니다  건널목을 건너시면 약 지점에 돈암동 주민센터가 있습니다  돈암동 주민센터    주소 우 성북구 정릉로 돈암동     전화번호     위치 호선 길음역 번 출구 돈암현대아파트 동 옆 위치  
2307,행정,서울시 관련 책자 중 Doing business in Seoul (두잉 비지니스 인 서울),서울시 관련 책자 중   두잉 비지니스 인 서울     서울글로벌센터서울글로벌빌딩 층로 방문 하시면 받아가실수 있습니다     우편 발송되지 않는다고 합니다     글로벌센터 한희경 담당자님에 확인   ,2895138,서울시 관련 책자 중 Doing business in Seoul (두잉 비지니스 인 서울)서울시 관련 책자 중   두잉 비지니스 인 서울     서울글로벌센터서울글로벌빌딩 층로 방문 하시면 받아가실수 있습니다     우편 발송되지 않는다고 합니다     글로벌센터 한희경 담당자님에 확인   
2306,행정,과태료 자진납부제도가 무엇인가요?,과태료 자진납부제도가 무엇인가요과태료 부과 대상자가 일간의 이의제출기간내에 이의제출을 포기하고 과태료를 자진하여 납부하고자 하는 경우 과태료 부과금액의 최대 범위내에서 감경된 금액으로 납부가 가능한 제도입니다이 제도는 과태료 부과처분에 이의가 없는 자에 대하여 인센티브를 제공함으로써 신속납부를 유도하고 체납을 사전에 방지하고자 도입된 것입니다 ,2896862,과태료 자진납부제도가 무엇인가요?과태료 자진납부제도가 무엇인가요과태료 부과 대상자가 일간의 이의제출기간내에 이의제출을 포기하고 과태료를 자진하여 납부하고자 하는 경우 과태료 부과금액의 최대 범위내에서 감경된 금액으로 납부가 가능한 제도입니다이 제도는 과태료 부과처분에 이의가 없는 자에 대하여 인센티브를 제공함으로써 신속납부를 유도하고 체납을 사전에 방지하고자 도입된 것입니다 
2305,행정,교회에 식품자동판매기 설치시 영업신고 여부,교회에 식품자동판매기 설치시 영업신고 여부식품위생법 제조제호의 규정에 의하여 영업이라 함은 식품등을 제조가공조리하거나 판매하는 등의 업을 말하는 바 자동판매기가 종교시설내에 설치되어 있다고 하더라도 주민 등 불특정 다수인을 대상으로 하여 요금을 받고 커피 등 다류를 판매하는 행위는 식품위생법 시행령 제조제호나목의 식품자동판매기영업에 해당됨 ,2895797,교회에 식품자동판매기 설치시 영업신고 여부교회에 식품자동판매기 설치시 영업신고 여부식품위생법 제조제호의 규정에 의하여 영업이라 함은 식품등을 제조가공조리하거나 판매하는 등의 업을 말하는 바 자동판매기가 종교시설내에 설치되어 있다고 하더라도 주민 등 불특정 다수인을 대상으로 하여 요금을 받고 커피 등 다류를 판매하는 행위는 식품위생법 시행령 제조제호나목의 식품자동판매기영업에 해당됨 
2304,행정,시) 서울에서 헬리콥터 렌트 할 수있는 곳이 있는지?,시 서울에서 헬리콥터 렌트 할 수있는 곳이 있는지통일항공 으로 문의 후 기간조정하에 렌트가능 홈페이지는 오류창으로 운영여부확인 안됨 그외 헬기문의는 한국타임즈항공 에서도 가능합니다 ,2894389,시) 서울에서 헬리콥터 렌트 할 수있는 곳이 있는지?시 서울에서 헬리콥터 렌트 할 수있는 곳이 있는지통일항공 으로 문의 후 기간조정하에 렌트가능 홈페이지는 오류창으로 운영여부확인 안됨 그외 헬기문의는 한국타임즈항공 에서도 가능합니다 
2302,행정,길음3동은 언제 길음2동으로 명칭이 변경되었나요?,길음동은 언제 길음동으로 명칭이 변경되었나요 행정동 통합으로 길음동과 길음동이 통합되어 길음동으로 되었고 길음동은 하월곡동 번지를 흡수하여 길음동으로 행정동 명칭이 변경,2895464,길음3동은 언제 길음2동으로 명칭이 변경되었나요?길음동은 언제 길음동으로 명칭이 변경되었나요 행정동 통합으로 길음동과 길음동이 통합되어 길음동으로 되었고 길음동은 하월곡동 번지를 흡수하여 길음동으로 행정동 명칭이 변경
2301,행정,하월곡동 88번지는 어느 동에서 행정업무를 처리하고 있나요?,하월곡동 번지는 어느 동에서 행정업무를 처리하고 있나요 행정동 통합으로 하월곡동 번지는 길음동으로 편입되어 길음동에서 행정업무를 관할하고 있습니다,2895463,하월곡동 88번지는 어느 동에서 행정업무를 처리하고 있나요?하월곡동 번지는 어느 동에서 행정업무를 처리하고 있나요 행정동 통합으로 하월곡동 번지는 길음동으로 편입되어 길음동에서 행정업무를 관할하고 있습니다
2300,행정,길음2동 초등학교 배정 문의,길음동 초등학교 배정 문의길음동 초등학교 배정 안내  미아초등학교 통반 통 통 통래미안길음센터피스 동 통통   송천초등학교 통반 래미안길음센터피스 동 통반 래미안길음센터피스 동             통래미안길음센터피스 동   숭곡초등학교 통반 통통 통 통 통              통반 래미안길음센터피스 동             통반 래미안길음센터피스 동             통래미안길음센터피스 동         ,2895340,길음2동 초등학교 배정 문의길음동 초등학교 배정 문의길음동 초등학교 배정 안내  미아초등학교 통반 통 통 통래미안길음센터피스 동 통통   송천초등학교 통반 래미안길음센터피스 동 통반 래미안길음센터피스 동             통래미안길음센터피스 동   숭곡초등학교 통반 통통 통 통 통              통반 래미안길음센터피스 동             통반 래미안길음센터피스 동             통래미안길음센터피스 동         
2299,행정,새마을문고 도서 대여 절차 문의,새마을문고 도서 대여 절차 문의새마을문고는 주민센터에 청사에 위치해 있고 관내 주민이면 누구나 이용 가능 이용시간 시시 처음 이용할 경우 회원등록후 대출 가능 약 권정도 소장하고 있으며 새마을문고는 새마을문고회원의 자원봉사로 운영이 되고 있어 이용시간이 정해져 있음 현재 코로나 관련 휴관중 ,2898166,새마을문고 도서 대여 절차 문의새마을문고 도서 대여 절차 문의새마을문고는 주민센터에 청사에 위치해 있고 관내 주민이면 누구나 이용 가능 이용시간 시시 처음 이용할 경우 회원등록후 대출 가능 약 권정도 소장하고 있으며 새마을문고는 새마을문고회원의 자원봉사로 운영이 되고 있어 이용시간이 정해져 있음 현재 코로나 관련 휴관중 
2298,경제,조합의 구성 및 임원의 직무는?,조합의 구성 및 임원의 직무는                     돋움                 돋움                  돋움                       돋움                 돋움                 돋움            돋움       돋움      돋움      돋움                 조합의 구성 조합장 인 임 원 인 이상 인 이하단 토지등 소유자가 인을 초과하는 경우 인 이상 인 이하로 함 감 사 인 이상 인 이하 조합의 임원은 총회에서 조합원의 과반수 출석과 출석 조합원 과반수의 동의를 얻어 조합원 중에서 선임 조합임원의 직무 조합장은 조합을 대표하고 사무를 총괄하며 총회 및 대의원회의 의장이 됨 이사는 조합장을 보좌하며 조합사무를 분장함 감사는 조합의 사무 및 재산 상태와 회계에 관한 사항을 감사함 조합장 또는 이사의 자기를 위한 조합과의 계약이나 소송에 관하여는 감사가 조합을 대표함 조합임원은 같은 목적의 다른 정비사업조합의 임원 또는 직원을 겸할 수 없음 조합임원의 결격사유 및 해임 미성년자금치산자한정치산자 파산선고를 받은 자로서 복권이 되지 아니한 자 금고 이사의 실형의 선고를 받고 그 집행이 종료종료된 것으로 보는 경우 포함되거나 집행이 면제된 날부터 년이 경과되지 아니한 자 금고 이상의 형의 집행유예를 받고 그 유예기간중에 있는 자 위에 해당되는 자로 판명되었을 때에는 당연 퇴임하며 퇴임 전 관여한 행위는 효력을 잃지 아니함 조합임원의 해임은 조합원 이상의 발의로 소집된 총회에서 조합원 과반수의 출석과 출선한 조합원 과반수의 동의를 얻어 할 수 있음단 정관이 해임에 관하여 별도로 정한 경우 정관에 의함 위에 해당할 경우 그 발의자 대표의 임시사회로 선출된 자가 그 의장이 됨 ,2895910,조합의 구성 및 임원의 직무는?조합의 구성 및 임원의 직무는                     돋움                 돋움                  돋움                       돋움                 돋움                 돋움            돋움       돋움      돋움      돋움                 조합의 구성 조합장 인 임 원 인 이상 인 이하단 토지등 소유자가 인을 초과하는 경우 인 이상 인 이하로 함 감 사 인 이상 인 이하 조합의 임원은 총회에서 조합원의 과반수 출석과 출석 조합원 과반수의 동의를 얻어 조합원 중에서 선임 조합임원의 직무 조합장은 조합을 대표하고 사무를 총괄하며 총회 및 대의원회의 의장이 됨 이사는 조합장을 보좌하며 조합사무를 분장함 감사는 조합의 사무 및 재산 상태와 회계에 관한 사항을 감사함 조합장 또는 이사의 자기를 위한 조합과의 계약이나 소송에 관하여는 감사가 조합을 대표함 조합임원은 같은 목적의 다른 정비사업조합의 임원 또는 직원을 겸할 수 없음 조합임원의 결격사유 및 해임 미성년자금치산자한정치산자 파산선고를 받은 자로서 복권이 되지 아니한 자 금고 이사의 실형의 선고를 받고 그 집행이 종료종료된 것으로 보는 경우 포함되거나 집행이 면제된 날부터 년이 경과되지 아니한 자 금고 이상의 형의 집행유예를 받고 그 유예기간중에 있는 자 위에 해당되는 자로 판명되었을 때에는 당연 퇴임하며 퇴임 전 관여한 행위는 효력을 잃지 아니함 조합임원의 해임은 조합원 이상의 발의로 소집된 총회에서 조합원 과반수의 출석과 출선한 조합원 과반수의 동의를 얻어 할 수 있음단 정관이 해임에 관하여 별도로 정한 경우 정관에 의함 위에 해당할 경우 그 발의자 대표의 임시사회로 선출된 자가 그 의장이 됨 
2297,경제,조합설립인가 신청서류 등의 작성 방법(조례 제14조)은?,조합설립인가 신청서류 등의 작성 방법조례 제조은                     돋움                 돋움                  돋움                       돋움                 돋움                 돋움            돋움       돋움      돋움      돋움                 정관은 표준정관을 준용하여 작성함을 원칙으로 함     주된 사무소의 소재지는 사업시행구역이 소재하는 구의 관할구역 안에 두는 것을 원칙으로 함     사업시행구역의 명칭 및 면적은 정비계획 수립시와 동일하게 함     조합원수는 신청서에 첨부된 조합원 명부의 인원을 기준으로 함     조합원 명부에는 조합원 번호 동의자의 주소 성명 및 권리 내역을 기재하여야 하며 동의율을 확인할 수 있는 동의 총괄표를 첨부함     임원 선출에 관한 증비서류로 토지등소유자의 대표자 추천서 또는 주민총회 회의록 등을 제출하여야 함 ,2895952,조합설립인가 신청서류 등의 작성 방법(조례 제14조)은?조합설립인가 신청서류 등의 작성 방법조례 제조은                     돋움                 돋움                  돋움                       돋움                 돋움                 돋움            돋움       돋움      돋움      돋움                 정관은 표준정관을 준용하여 작성함을 원칙으로 함     주된 사무소의 소재지는 사업시행구역이 소재하는 구의 관할구역 안에 두는 것을 원칙으로 함     사업시행구역의 명칭 및 면적은 정비계획 수립시와 동일하게 함     조합원수는 신청서에 첨부된 조합원 명부의 인원을 기준으로 함     조합원 명부에는 조합원 번호 동의자의 주소 성명 및 권리 내역을 기재하여야 하며 동의율을 확인할 수 있는 동의 총괄표를 첨부함     임원 선출에 관한 증비서류로 토지등소유자의 대표자 추천서 또는 주민총회 회의록 등을 제출하여야 함 
2296,경제,주거환경개선구역이란?,주거환경개선구역이란                     돋움                 돋움                  돋움                       돋움                 돋움                 돋움            돋움       돋움      돋움      돋움                 주거환경개선구역조례 제조     호수밀도가 이상인 지역으로서 다음 각목의 에 해당하는 지역     노후불량건축물의 수가 대상구역안의 건축물 총수의 퍼센트 이상인 지역     주택접도율정비구역안의 너비 미터 이상의 도로에 접한 건축물의 총수를 정비구역안의 건축물 총수로 나눈 비율 다만 연장 미터 이상의 막다른 도로의 경우에는 너비 미터로 한다 퍼센트 이하인 지역     건축대지로서 효용을 다할 수 없는 과소필지서울특별시 건축조례 제조제호에 의한 규모 이하의 토지 부정형 또는 세장형필지 수가 퍼센트 이상인 지역     상습침수지역재해위험지역 등 재해발생이 우려되는 지역으로서 신속히 사업시행이 필요한 지역 ,2895953,주거환경개선구역이란?주거환경개선구역이란                     돋움                 돋움                  돋움                       돋움                 돋움                 돋움            돋움       돋움      돋움      돋움                 주거환경개선구역조례 제조     호수밀도가 이상인 지역으로서 다음 각목의 에 해당하는 지역     노후불량건축물의 수가 대상구역안의 건축물 총수의 퍼센트 이상인 지역     주택접도율정비구역안의 너비 미터 이상의 도로에 접한 건축물의 총수를 정비구역안의 건축물 총수로 나눈 비율 다만 연장 미터 이상의 막다른 도로의 경우에는 너비 미터로 한다 퍼센트 이하인 지역     건축대지로서 효용을 다할 수 없는 과소필지서울특별시 건축조례 제조제호에 의한 규모 이하의 토지 부정형 또는 세장형필지 수가 퍼센트 이상인 지역     상습침수지역재해위험지역 등 재해발생이 우려되는 지역으로서 신속히 사업시행이 필요한 지역 
2295,경제,토지등소유자란?,토지등소유자란                     돋움                 돋움                  돋움                       돋움                 돋움                 돋움            돋움       돋움      돋움      돋움                 주거환경개선사업주택재개발사업 또는 도시환경정비사업의 경우에는 정비구역 안에 소재한 토지 또는 건축물의 소유자 또는 그 지상권자 주택재건축사업의 경우에는 정비구역 안에 소재한 건축물 및 그 부속토지의 소유자 혹은 정비구역이 아닌 구역 안에 소재한 기존 세대수가 세대 이상이거나 기존 세대수가 세대 미만으로서 세대 이상으로 재건축하고자 하는 노후불량한 아파트 또는 연립주택 및 그 부속토지의 소유자와 부대복리시설 및 그 부속토지의 소유자 ,2895954,토지등소유자란?토지등소유자란                     돋움                 돋움                  돋움                       돋움                 돋움                 돋움            돋움       돋움      돋움      돋움                 주거환경개선사업주택재개발사업 또는 도시환경정비사업의 경우에는 정비구역 안에 소재한 토지 또는 건축물의 소유자 또는 그 지상권자 주택재건축사업의 경우에는 정비구역 안에 소재한 건축물 및 그 부속토지의 소유자 혹은 정비구역이 아닌 구역 안에 소재한 기존 세대수가 세대 이상이거나 기존 세대수가 세대 미만으로서 세대 이상으로 재건축하고자 하는 노후불량한 아파트 또는 연립주택 및 그 부속토지의 소유자와 부대복리시설 및 그 부속토지의 소유자 
