Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Value-added of Mining and Support Activities Growth Rate (The same period last year=100)(%),-5.2,7.3,,,-12.8,-12.7,-8.0,6.6,-1.4,6.7,5.9,1.7,1.8,5.5,,,22.1,8.1,16.7,2.4,14.4,10.9,2.0,3.3,8.9,2.4,,,9.1,20.3,5.5,5.3,18.1,3.9,12.3,6.6,-11.8,-1.8,,,-6.4,-15.5,-16.3,-10.8,-27.3,-22.4,-12.0,-15.0,-11.5,-7.2,,,-6.7,4.7,16.7,16.4,19.2,25.1,20.7,33.7,45.3,39.3,,,25.8,24.0,11.7,33.9,22.7,23.3,36.5,25.6,13.3,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Mining and Support Activities Accumulated Growth Rate(%),1.1,4.3,1.4,,1.1,3.3,5.2,6.7,6.8,8.1,8.3,9.1,11.5,15.8,24.0,,9.5,7.6,7.5,6.4,7.1,6.1,5.1,6.2,7.2,6.5,10.0,,5.6,5.1,3.5,3.3,2.9,1.0,0.5,-2.9,-6.3,-3.6,-2.8,,-12.6,-13.5,-13.3,-12.9,-13.2,-11.0,-9.2,-8.6,-6.8,-4.7,-3.1,,21.7,25.2,27.5,28.8,30.5,31.9,33.4,37.0,38.0,33.9,28.0,,23.9,22.8,22.8,24.1,22.4,22.9,22.9,18.3,15.2,20.0,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Mining of Other Ores Growth Rate (The same period last year=100)(%),-10.1,-17.2,,,-35.4,-32.1,-42.8,-49.2,-52.2,-44.4,-45.5,-23.8,-48.1,-53.2,,,47.7,45.3,34.7,21.3,25.2,36.3,20.4,13.9,-6.2,76.7,,,-1.4,-33.6,-15.2,5.4,15.9,-25.0,-20.1,-8.1,-3.3,-7.6,,,0.8,1.7,10.6,-0.6,-19.3,25.1,9.7,-6.7,-5.3,3.6,,,10.7,40.6,-5.3,-9.0,-25.6,-16.7,-15.6,-8.7,-11.8,2.0,,,-5.3,16.3,-7.9,-11.8,-1.1,-6.7,17.6,14.1,18.8,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Mining of Other Ores Accumulated Growth Rate(%),-35.1,-43.0,-50.6,,-37.7,-38.0,-38.8,-38.1,-36.0,-32.7,-29.3,-22.9,-22.7,-14.8,17.7,,27.8,24.9,21.4,19.1,18.6,17.3,12.6,10.0,8.6,15.9,-11.9,,-10.8,-12.1,-6.9,-5.3,-7.4,-10.6,-6.7,-0.9,2.3,5.0,15.3,,1.1,1.1,1.0,-0.7,-0.7,2.9,-2.8,-7.6,-7.8,-8.9,-18.3,,3.8,2.7,-8.1,-8.6,-8.5,-5.8,-3.9,-0.8,1.7,6.4,9.4,,3.0,4.0,2.0,3.4,5.4,6.3,8.1,6.1,3.8,-2.7,-12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Processing of Food from Agricultural Products Growth Rate (The same period last year=100)(%),1.2,5.2,,,-0.8,-0.5,0.7,1.2,3.1,3.0,2.2,-1.3,-1.6,-4.9,,,-2.0,-2.9,-2.0,1.5,-2.3,-0.8,-0.3,1.6,-0.1,6.1,,,5.7,7.0,3.3,2.5,7.2,5.9,9.6,7.3,3.4,8.3,,,1.5,2.9,4.8,2.7,-2.5,-2.2,-2.4,-0.5,3.0,-4.8,,,-0.3,-0.6,-2.7,-1.2,0.0,1.5,2.5,4.4,3.4,5.7,,,5.9,2.2,4.7,5.5,6.0,6.9,5.9,3.2,5.8,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Processing of Food from Agricultural Products Accumulated Growth Rate(%),2.8,3.3,2.3,,0.2,0.3,0.4,0.4,0.2,-0.3,-0.8,-1.5,-1.7,-1.7,0.3,,0.7,1.0,1.5,1.9,2.0,2.6,3.3,4.1,4.7,6.4,6.5,,7.7,7.9,8.0,8.6,9.6,10.0,10.7,10.9,11.8,15.2,22.8,,-1.5,-1.9,-2.5,-3.4,-4.2,-4.4,-4.9,-5.5,-7.0,-11.1,-16.0,,1.9,2.1,2.4,3.0,3.6,4.1,4.7,5.1,5.4,6.1,6.3,,5.9,5.9,6.2,6.4,6.5,6.5,6.5,6.6,7.3,7.8,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Foods Growth Rate (The same period last year=100)(%),4.8,4.9,,,4.4,3.8,4.7,6.4,2.5,0.0,3.1,0.1,2.9,2.5,,,-0.1,-2.0,0.3,2.7,2.5,2.8,3.0,3.5,0.1,3.8,,,9.1,9.0,6.8,2.8,6.4,5.0,6.6,3.6,1.4,6.3,,,2.4,2.3,5.1,6.5,0.5,1.8,1.3,6.3,7.5,5.7,,,4.6,5.5,3.4,4.2,5.0,7.3,6.7,4.6,5.6,4.8,,,8.5,8.6,7.7,4.5,5.3,6.2,5.0,5.6,5.2,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Foods Accumulated Growth Rate(%),6.0,6.4,7.3,,3.3,3.1,3.1,2.9,2.3,2.3,2.7,2.5,3.2,3.3,3.7,,2.3,2.6,3.2,3.5,3.6,3.8,4.1,4.3,4.5,6.0,7.4,,8.0,7.9,7.8,7.9,8.8,9.1,9.9,10.7,12.7,17.4,28.8,,1.5,1.4,1.3,0.8,0.0,-0.1,-0.5,-1.0,-3.3,-7.9,-18.2,,5.3,5.4,5.4,5.6,5.7,5.8,5.5,5.2,5.5,5.4,6.0,,6.7,6.5,6.3,6.1,6.3,6.4,6.4,6.7,6.9,7.4,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Wine Beverages and Refined Tea Growth Rate (The same period last year=100)(%),3.8,4.0,,,2.1,4.8,3.4,2.7,-2.9,-3.1,0.2,0.0,2.0,-1.0,,,3.4,-0.7,1.5,5.5,7.6,10.8,7.1,7.0,0.5,7.0,,,11.9,12.3,9.2,3.6,7.5,6.4,2.6,5.3,8.5,19.9,,,0.8,1.4,1.4,2.0,-3.6,-1.6,1.3,0.6,-1.5,-2.3,,,7.9,5.0,4.3,7.6,4.9,4.1,10.4,5.2,3.9,5.1,,,9.1,8.4,6.0,5.1,5.3,4.4,8.4,7.2,7.1,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Wine Beverages and Refined Tea Accumulated Growth Rate(%),5.9,6.5,8.1,,0.8,0.6,0.1,-0.2,-0.6,-0.3,0.2,0.1,0.1,-0.5,-0.3,,6.3,6.7,7.5,8.2,8.6,8.7,8.4,8.8,9.2,12.1,15.4,,10.6,10.5,10.3,10.5,11.6,12.3,13.3,16.2,19.3,23.2,28.7,,-2.7,-3.2,-3.7,-4.3,-5.2,-5.4,-6.1,-8.1,-11.0,-14.7,-23.6,,6.2,6.0,6.1,6.3,6.0,6.2,6.5,5.5,5.6,6.1,6.4,,7.3,7.1,7.0,7.1,7.3,7.6,8.1,8.0,8.2,8.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Tobacco Growth Rate (The same period last year=100)(%),3.0,3.3,,,-8.0,5.7,-2.7,1.9,0.9,-0.8,19.1,3.5,8.4,8.8,,,-1.7,4.0,5.4,9.1,8.2,8.9,-8.0,10.6,8.7,5.0,,,-14.5,-4.3,11.9,1.4,9.4,11.8,-3.9,1.8,-1.1,-17.9,,,-3.1,-0.8,-7.1,3.9,0.4,2.1,1.9,-3.7,-1.3,16.1,,,6.9,-13.6,3.2,0.3,2.2,4.8,2.4,1.5,9.2,5.0,,,-17.7,-0.9,0.8,1.3,7.4,8.7,-1.2,12.6,9.6,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Tobacco Accumulated Growth Rate(%),4.2,4.4,4.6,,5.3,5.9,5.9,6.6,7.2,8.1,9.4,8.2,9.0,9.2,9.2,,7.0,7.5,7.7,8.0,7.8,7.8,7.6,9.8,9.7,9.9,11.1,,3.5,4.7,5.5,5.0,5.5,5.1,4.1,5.4,5.9,7.4,19.6,,3.2,3.6,4.0,5.1,5.2,5.8,6.4,5.6,7.3,9.6,6.9,,5.2,5.0,6.6,7.0,7.8,8.6,9.1,10.2,11.8,12.4,15.0,,6.0,7.4,8.3,9.1,10.1,10.4,10.7,12.7,12.6,13.3,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Textile Growth Rate (The same period last year=100)(%),6.6,2.5,,,1.7,2.1,2.0,0.8,1.4,-0.3,-0.4,-1.8,-3.0,-3.1,,,-3.0,-4.7,-4.2,-1.6,-5.1,-4.8,-3.9,-3.5,-6.3,0.7,,,-2.4,-3.5,-5.9,-5.8,-2.5,-1.0,-1.3,-3.0,2.5,7.5,,,5.2,6.5,9.5,5.6,3.3,0.7,3.2,4.3,2.0,-5.5,,,0.2,2.5,-1.3,0.6,0.1,1.2,1.6,0.7,-1.8,9.0,,,0.2,1.5,1.1,0.8,0.0,0.6,-0.1,-1.5,2.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Textile Accumulated Growth Rate(%),5.4,4.9,6.6,,-0.6,-0.8,-1.0,-1.3,-1.6,-2.1,-2.4,-3.0,-3.2,-3.2,-3.5,,-2.7,-2.5,-2.3,-2.0,-2.0,-1.7,-1.1,-0.4,0.5,3.2,4.9,,1.4,1.8,2.5,3.7,5.2,6.6,8.2,10.8,16.1,22.5,39.5,,0.7,0.2,-0.5,-1.7,-2.8,-3.7,-4.5,-6.7,-10.6,-16.8,-27.2,,1.3,1.4,1.2,1.5,1.6,1.8,1.9,1.9,2.2,3.7,0.2,,1.0,1.0,0.9,0.9,0.9,1.0,1.1,1.4,2.1,2.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Textile Wearing Apparel and Clothing Growth Rate (The same period last year=100)(%),0.0,-5.4,,,-1.8,-5.5,-5.7,-8.1,-10.3,-11.1,-6.9,-6.3,-10.6,-7.7,,,-11.4,-12.4,-10.0,-3.7,-1.3,-0.2,1.5,1.2,-0.3,5.1,,,5.0,7.4,8.2,5.2,6.7,8.1,7.7,4.0,5.9,10.3,,,-3.6,-6.4,-5.0,-4.8,-8.5,-10.8,-9.9,-5.0,-4.2,-8.4,,,0.0,0.6,-4.4,-2.4,-1.0,1.1,3.9,0.5,-0.9,6.0,,,2.6,2.2,6.4,6.0,3.8,4.1,0.9,2.6,6.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Textile Wearing Apparel and Clothing Accumulated Growth Rate(%),-0.4,-0.5,2.8,,-7.6,-8.3,-8.5,-8.8,-8.9,-8.7,-8.2,-8.6,-9.2,-8.8,-9.6,,-1.9,-0.9,0.6,2.0,2.9,3.6,4.4,5.1,6.2,8.7,11.3,,8.5,8.9,9.1,9.2,9.9,10.4,10.9,11.7,14.1,17.5,26.6,,-9.0,-9.6,-10.0,-10.6,-11.4,-11.9,-12.2,-12.8,-15.0,-19.7,-28.9,,0.9,1.0,1.0,1.6,2.2,2.7,3.0,2.7,3.3,4.8,3.9,,4.4,4.5,4.8,4.6,4.4,4.5,4.5,5.3,6.0,6.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Leather Fur Feather and Related Products Growth Rate (The same period last year=100)(%),6.7,0.4,,,0.0,-1.6,-4.2,-6.5,-8.4,-9.8,-8.0,-10.8,-17.4,-20.4,,,-8.0,-7.6,-6.4,-5.7,-0.1,-0.5,-0.5,5.1,0.6,5.2,,,5.5,6.1,7.9,6.6,5.7,4.6,6.9,7.3,8.6,14.3,,,-5.4,-7.7,-8.4,-7.7,-11.5,-12.4,-11.4,-11.4,-10.6,-10.6,,,-1.5,0.7,-1.6,0.8,1.4,1.9,2.1,0.0,3.0,6.9,,,6.4,6.8,4.5,2.9,1.6,3.0,6.7,3.9,4.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Leather Fur Feather and Related Products Accumulated Growth Rate(%),3.9,3.0,4.5,,-8.4,-9.3,-10.2,-10.9,-11.5,-12.1,-12.4,-13.6,-14.6,-14.1,-9.5,,-0.4,0.5,1.5,2.4,3.6,4.1,4.8,6.1,6.5,8.7,11.3,,8.6,9.0,9.4,9.6,10.1,10.8,11.9,13.4,14.9,17.4,23.2,,-11.7,-12.4,-12.9,-13.4,-14.2,-14.6,-15.0,-16.1,-17.5,-20.3,-28.4,,2.1,2.4,2.5,2.9,3.2,3.4,3.8,4.2,5.2,6.1,5.4,,4.7,4.5,4.2,4.2,4.4,4.8,5.2,4.8,5.1,5.4,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Processing of Timber Manufacture of Wood Bamboo Rattan Palm and Straw Products Growth Rate (The same period last year=100)(%),2.9,-0.1,,,-2.7,-2.6,-0.8,-2.6,-0.2,-4.6,-3.3,-7.5,-6.6,-2.9,,,-1.5,0.1,-2.5,-2.7,-3.9,-3.7,-2.6,-1.8,-2.8,4.8,,,9.8,3.8,3.0,3.3,3.6,6.7,9.3,5.1,9.9,15.4,,,1.8,3.3,2.2,1.5,-1.1,-3.6,-1.8,1.4,0.7,0.3,,,3.2,3.9,-0.2,-1.1,-2.4,-1.1,-3.6,3.8,4.6,9.7,,,3.0,2.5,4.4,4.4,4.8,1.0,1.8,-2.6,0.2,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Processing of Timber Manufacture of Wood Bamboo Rattan Palm and Straw Products Accumulated Growth Rate(%),2.0,1.7,2.8,,-2.8,-2.9,-2.9,-3.1,-3.3,-3.6,-3.5,-3.6,-2.9,-1.8,-1.1,,-0.5,-0.3,-0.3,-0.1,0.3,0.9,1.7,2.7,3.9,6.5,7.7,,10.4,10.5,11.4,12.5,14.0,15.8,17.6,19.7,24.3,30.9,48.3,,-1.9,-2.4,-3.1,-3.7,-4.5,-5.0,-5.3,-6.2,-8.7,-12.9,-24.6,,2.2,2.0,1.8,2.0,2.5,3.2,3.9,5.6,6.0,6.5,4.4,,2.8,2.7,2.7,2.5,2.2,1.8,2.0,2.0,3.2,4.3,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Furniture Growth Rate (The same period last year=100)(%),5.3,1.3,,,1.9,-0.4,-3.2,-5.3,-6.5,-7.7,-9.3,-5.5,-6.9,-10.3,,,-13.5,-13.8,-9.9,-5.2,-7.8,-9.5,-5.3,-9.7,-8.8,0.1,,,1.4,4.2,2.8,0.7,4.5,9.2,19.8,20.8,20.6,21.8,,,2.1,4.4,4.0,3.4,0.2,-1.6,-7.9,-8.6,-7.0,-8.1,,,4.3,1.3,1.9,2.2,1.4,0.8,0.6,1.3,2.3,8.0,,,1.6,6.4,5.1,7.6,4.8,4.9,7.1,3.2,5.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Furniture Accumulated Growth Rate(%),6.5,6.9,11.1,,-6.7,-7.7,-8.5,-9.1,-9.6,-10.0,-10.2,-10.3,-11.5,-12.9,-14.6,,-6.7,-5.9,-4.9,-4.3,-4.2,-3.6,-2.5,-1.8,0.5,4.3,7.4,,12.2,13.7,15.0,16.8,19.6,22.3,25.1,26.5,28.1,31.5,43.5,,-4.4,-5.3,-6.5,-7.8,-9.4,-10.9,-12.9,-14.3,-16.0,-20.1,-30.5,,2.5,2.2,2.4,2.5,2.5,2.6,2.9,3.4,3.9,4.4,2.1,,5.6,6.2,6.2,6.2,6.1,6.3,6.5,6.4,7.2,7.9,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Paper and Paper Products Growth Rate (The same period last year=100)(%),11.6,9.9,,,9.2,7.8,8.5,8.8,6.6,2.5,1.6,-1.7,0.6,-2.9,,,-3.4,-2.1,-0.4,2.5,-3.0,-0.9,1.4,0.5,-5.6,1.4,,,1.9,1.9,-1.2,-3.0,2.9,1.4,5.5,6.6,6.3,6.4,,,3.9,4.2,6.8,5.5,2.8,2.4,2.2,1.4,7.9,0.8,,,5.2,5.9,5.5,5.8,2.1,5.2,4.8,4.5,-2.3,7.0,,,2.9,1.9,-1.8,-1.7,1.5,1.4,0.1,1.0,3.8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
