Database???Monthly
Month��2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Value-added of Mining of Other Ores Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,12.2,-4.5,3.8,0.2,7.5,33.4,9.0,11.0,-0.2,,,1.0,-9.0,0.5,-6.1,-11.1,-20.6,-23.5,-14.5,-18.2,-19.6,,,5.5,3.1,5.2,10.2,11.5,1.4,5.1,0.3,-2.0,-33.3,,
Value-added of Mining of Other Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,8.8,8.3,10.0,10.9,12.4,13.3,7.9,7.6,6.4,9.8,,-11.3,-13.1,-13.7,-16.0,-17.8,-19.1,-18.8,-17.8,-18.6,-18.7,-18.2,,2.4,2.0,1.9,1.4,0.0,-1.9,-2.7,-4.5,-5.6,-6.8,8.4,
Value-added of Processing of Food from Agricultural Products Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.1,5.0,6.2,5.6,6.0,7.2,7.4,8.5,7.7,,,5.7,7.2,6.5,6.2,5.8,5.0,5.4,6.5,7.5,4.7,,,4.2,5.5,5.9,6.7,7.1,7.5,7.2,5.1,2.3,3.8,,
Value-added of Processing of Food from Agricultural Products Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,6.6,6.6,6.8,6.9,7.1,7.3,7.3,7.3,6.9,6.3,,6.1,6.1,6.0,5.9,5.9,5.9,6.0,6.2,6.1,5.6,6.1,,5.5,5.6,5.6,5.6,5.5,5.3,4.9,4.4,4.2,4.8,5.4,
Value-added of Manufacture of Foods Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,9.6,10.6,9.3,7.2,7.2,11.0,7.6,8.9,10.2,,,8.1,7.7,8.6,8.7,9.5,9.9,8.4,8.7,9.3,7.5,,,8.5,9.6,8.0,9.0,6.9,7.0,7.9,7.2,5.9,5.3,,
Value-added of Manufacture of Foods Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,9.0,8.9,8.6,8.6,8.7,9.0,8.5,8.8,8.7,7.7,,8.8,8.8,8.9,8.9,9.0,8.9,8.7,8.7,8.8,8.6,9.2,,7.5,7.4,7.2,7.1,6.8,6.8,6.8,6.5,6.3,6.4,7.1,
Value-added of Manufacture of Wine Beverages and Refined Tea Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.3,9.5,9.7,7.2,8.3,10.7,9.0,9.8,10.3,,,11.2,10.9,9.5,9.8,8.9,7.0,7.4,5.4,3.6,6.8,,,7.8,6.9,6.2,9.0,7.3,7.0,6.1,6.4,8.5,9.6,,
Value-added of Manufacture of Wine Beverages and Refined Tea Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,9.2,9.3,9.4,9.3,9.6,9.8,9.5,9.7,9.7,9.4,,8.0,7.7,7.4,7.1,6.8,6.4,6.3,6.1,6.3,7.2,7.4,,7.7,7.7,7.8,8.0,7.9,8.0,8.2,8.7,9.3,9.5,9.4,
Value-added of Manufacture of Tobacco Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.5,9.6,2.4,13.1,5.2,4.3,6.8,0.4,0.9,11.5,,,12.0,-7.3,-10.6,-16.3,-4.5,-10.7,-5.6,-7.9,-11.5,-7.8,,,16.9,8.8,7.9,-2.0,-5.8,-3.2,5.9,7.1,3.2,2.7,,
Value-added of Manufacture of Tobacco Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.5,3.9,3.9,2.5,2.0,1.6,0.5,0.4,0.2,-5.3,,-8.3,-10.3,-10.6,-10.8,-10.0,-10.9,-10.9,-12.0,-12.9,-13.4,-15.6,,3.4,2.3,1.6,0.9,1.3,2.2,3.0,2.5,1.5,1.1,0.5,
Value-added of Manufacture of Textile Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,2.0,3.3,4.1,3.6,4.3,4.9,5.0,3.9,4.6,,,2.2,4.1,4.8,3.3,4.8,5.0,6.6,6.8,7.0,7.3,,,7.6,6.4,5.6,6.5,7.6,8.0,8.1,8.0,6.6,5.6,,
Value-added of Manufacture of Textile Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.2,4.3,4.4,4.5,4.5,4.4,4.2,4.3,4.1,,5.5,5.9,6.1,6.2,6.6,6.9,7.3,7.4,7.5,7.7,7.9,,7.0,6.9,7.0,7.2,7.3,7.2,7.1,6.9,6.6,6.6,7.2,
Value-added of Manufacture of Textile Wearing Apparel and Clothing Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.8,5.0,6.4,5.0,5.8,7.7,7.5,6.3,7.0,,,2.4,3.6,2.5,2.8,3.2,3.1,3.6,5.2,5.4,4.9,,,3.7,3.0,4.3,3.5,4.6,3.6,4.4,4.5,3.8,6.0,,
Value-added of Manufacture of Textile Wearing Apparel and Clothing Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,6.0,6.2,6.4,6.3,6.6,6.8,6.5,6.2,6.2,5.6,,3.8,3.9,4.0,4.2,4.5,4.7,4.9,5.2,5.3,5.2,5.3,,4.4,4.5,4.7,4.7,4.9,4.9,5.1,5.3,5.5,6.1,6.1,
Value-added of Manufacture of Leather Fur Feather and Related Products Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,2.0,3.3,4.1,4.0,5.4,4.9,5.6,5.8,6.2,,,3.2,4.5,3.6,2.5,2.2,2.5,3.1,3.6,3.8,3.7,,,3.0,3.7,4.9,4.5,5.3,5.6,6.4,4.4,4.2,2.9,,
Value-added of Manufacture of Leather Fur Feather and Related Products Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.7,5.0,5.2,5.3,5.5,5.6,5.7,5.8,5.8,5.4,,3.4,3.4,3.2,3.2,3.3,3.4,3.6,3.7,3.7,3.6,3.5,,4.9,5.1,5.2,5.2,5.3,5.3,5.2,4.9,5.0,5.3,6.8,
Value-added of Processing of Timber Manufacture of Wood Bamboo Rattan Palm and Straw Products Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.2,4.6,4.1,1.9,5.2,8.1,8.0,9.0,8.9,,,5.7,6.7,8.2,7.9,7.7,7.2,6.8,7.5,5.0,5.1,,,5.9,5.6,5.4,7.5,7.8,6.2,6.9,5.2,4.3,4.1,,
Value-added of Processing of Timber Manufacture of Wood Bamboo Rattan Palm and Straw Products Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.4,6.6,6.8,7.3,8.1,8.6,8.8,8.9,8.9,8.9,,6.8,6.9,7.0,6.8,6.6,6.4,6.3,6.1,5.7,6.0,6.5,,6.3,6.3,6.4,6.5,6.3,6.0,6.0,5.8,6.0,6.7,8.3,
Value-added of Manufacture of Furniture Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.9,10.5,10.2,10.0,10.1,12.5,10.6,9.9,10.7,,,6.8,7.9,7.6,6.4,5.4,4.3,5.3,7.6,5.9,9.1,,,6.1,8.2,7.8,8.3,7.5,6.5,6.4,4.8,6.7,3.4,,
Value-added of Manufacture of Furniture Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,9.9,10.3,10.3,10.3,10.4,10.4,9.8,9.7,9.6,9.0,,6.6,6.6,6.4,6.3,6.2,6.4,6.8,7.1,7.0,7.4,6.3,,6.9,7.0,6.9,6.8,6.6,6.5,6.5,6.5,7.0,7.1,9.3,
Value-added of Manufacture of Paper and Paper Products Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1.2,1.6,4.5,3.9,5.0,5.3,5.0,6.3,5.7,,,5.6,7.2,6.9,6.1,4.5,4.6,4.5,4.9,5.0,6.8,,,4.4,5.2,4.4,5.0,5.9,7.5,5.9,6.2,5.4,3.5,,
Value-added of Manufacture of Paper and Paper Products Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.6,4.9,5.4,5.5,5.7,5.8,5.9,6.2,6.2,6.5,,5.9,5.9,5.8,5.6,5.6,5.7,5.9,6.1,6.4,6.8,6.8,,5.3,5.4,5.4,5.5,5.6,5.5,5.2,5.0,4.7,4.4,4.9,
Value-added of Printing Reproduction of Recording Media Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,8.7,7.5,10.3,11.2,10.7,11.7,12.3,11.9,10.7,,,7.1,12.2,7.9,5.7,5.2,2.3,4.2,5.7,4.6,5.2,,,4.0,5.4,4.4,7.4,8.1,8.9,8.4,7.0,7.4,7.9,,
Value-added of Printing Reproduction of Recording Media Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.1,10.4,10.7,10.8,10.8,10.7,10.5,10.0,9.3,8.4,,6.1,6.0,5.2,4.9,4.8,4.7,5.1,5.4,5.3,5.6,5.8,,6.7,7.0,7.2,7.6,7.6,7.5,7.2,6.9,6.9,6.7,5.9,
Value-added of Manufacture of Articles for Culture Education Art Sport and Entertainment Activities Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,9.6,12.0,10.5,9.0,10.2,9.2,9.0,8.7,8.8,,,4.4,2.4,7.0,1.8,-1.8,-1.4,3.9,3.6,3.7,3.4,,,4.6,4.7,-9.3,0.3,11.7,10.5,9.6,10.2,9.0,10.4,,
Value-added of Manufacture of Articles for Culture Education Art Sport and Entertainment Activities Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,9.1,9.1,8.7,8.4,8.3,7.9,7.6,7.2,6.6,5.2,,3.2,3.1,3.2,2.6,2.8,3.5,4.4,4.4,4.6,5.0,5.9,,5.8,5.9,6.0,7.9,9.1,8.7,8.4,8.1,7.5,7.0,4.9,
Value-added of Processing of Petroleum Coking and Processing of Nuclear Fuel Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.4,8.3,10.2,6.9,6.6,2.7,4.4,-1.8,1.2,,,2.2,4.5,5.9,7.1,5.1,3.8,8.0,6.0,8.7,9.1,,,4.8,8.2,6.3,6.1,7.5,8.1,8.7,10.7,10.6,8.7,,
Value-added of Processing of Petroleum Coking and Processing of Nuclear Fuel Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.5,4.2,3.7,2.8,2.2,1.5,1.2,-0.1,0.6,0.1,,6.7,7.2,7.6,7.7,7.8,8.2,8.9,9.2,10.1,10.5,11.2,,7.4,7.6,7.5,7.6,7.8,7.8,7.8,7.6,6.8,5.4,3.5,
Value-added of Manufacture of Raw Chemical Materials and Chemical Products Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.1,3.3,4.2,3.2,2.3,4.3,2.8,3.9,4.6,,,3.1,5.4,6.7,7.2,5.9,8.8,8.9,11.1,10.0,8.9,,,9.1,8.5,9.5,9.6,10.3,8.8,9.5,8.8,10.6,9.7,,
Value-added of Manufacture of Raw Chemical Materials and Chemical Products Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.8,3.9,3.9,3.9,4.0,4.3,4.3,4.7,5.0,5.2,,7.7,8.2,8.5,8.7,8.9,9.3,9.4,9.5,9.1,8.8,8.6,,9.5,9.5,9.6,9.6,9.6,9.5,9.6,9.6,9.8,9.5,9.4,
Value-added of Manufacture of Medicines Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,13.6,13.5,13.2,11.6,11.3,13.6,10.7,11.9,11.6,,,10.1,12.2,11.3,10.1,11.5,10.6,11.2,12.2,10.7,11.2,,,8.6,8.8,10.0,10.7,10.3,10.3,8.5,8.6,11.4,11.4,,
Value-added of Manufacture of Medicines Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,12.3,12.0,11.8,11.7,11.6,11.6,11.2,11.3,11.1,10.7,,10.8,10.8,10.6,10.5,10.6,10.4,10.4,10.2,9.6,9.2,8.0,,9.9,10.1,10.2,10.2,10.1,10.1,10.1,10.5,11.0,10.8,10.5,
Value-added of Manufacture of Chemical Fibers Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,6.8,5.3,10.5,9.0,6.2,3.6,-0.2,1.9,1.4,,,4.1,-0.8,2.5,-1.8,5.0,12.7,13.0,11.0,9.2,8.2,,,11.4,11.8,10.6,12.2,8.5,7.6,12.4,14.4,13.8,11.0,,
Value-added of Manufacture of Chemical Fibers Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,5.4,5.3,5.3,4.7,4.0,3.7,3.7,4.8,5.8,8.6,,6.1,6.3,7.2,7.8,8.9,9.6,9.0,8.1,7.2,6.5,5.4,,11.2,11.2,11.1,11.1,11.0,11.4,12.0,11.9,11.1,10.1,9.5,
Value-added of Manufacture of Rubber and Plastics Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,5.4,5.4,5.5,4.4,4.4,6.7,6.2,6.5,7.8,,,5.3,7.8,6.6,7.4,7.9,7.2,8.0,7.7,7.6,8.4,,,5.3,4.8,7.2,9.0,9.9,10.3,9.4,8.6,7.2,7.7,,
Value-added of Manufacture of Rubber and Plastics Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,6.2,6.3,6.4,6.6,6.8,7.3,7.4,7.7,8.2,8.4,,7.6,7.8,7.8,8.0,8.1,8.1,8.2,8.3,8.4,8.7,9.0,,7.9,8.2,8.6,8.8,8.8,8.6,8.3,8.1,8.0,8.3,8.7,
Value-added of Manufacture of Nonmetallic Mineral Products Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,2.6,2.3,2.7,1.3,3.4,4.1,4.7,6.3,6.8,,,4.7,6.4,5.9,4.8,4.7,6.0,6.6,8.3,9.3,9.8,,,6.6,5.2,4.9,8.0,7.7,6.6,7.0,5.1,4.2,3.0,,
